Analysis,Notes,U_ppm,Th_ppm,Pb_ppm,Th/U,206Pb_cps,206Pb_204Pb,206Pb_204Pb_1s,208Pb_232Th,208Pb_232Th_2s,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.,238U_206Pb,238U_206Pb_2s,207Pb_206Pb,207Pb_206Pb_2s,208Pb_232Th,208Pb_232Th_2s_(Ma),208Pb_232Th_2s-sys_(Ma),207Pb_206Pb,207Pb_206Pb_2s_(Ma),207Pb_206Pb_2s-sys_(Ma),207Pb_235U,207Pb_235U_2s_(Ma),207Pb_235U_2s-sys_(Ma),206Pb_238U,206Pb_238U_2s_(Ma),206Pb_238U_2s-sys_(Ma),7/6 disc._(%),7/5 disc._(%),(%),238U*,(Ma),238U*,(Ma),P,Ti,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Ti-in-zircon_T(°C),Ce/Ce*,Eu/Eu*,?REE,(Gd/Yb)cn,Lu/Hf,Nb/Ta,Nb/U,Nb/Th,Th/U,Th/Y,Hf/Y,Nb/Yb,U/Yb,Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238U*,(Ma),disc.,238U*,(Ma),disc.,238U*,(Ma),disc.,,206 cps,,,,,238 cps,,,,,206 cps,238 cps,%dev,(Pb),(U),,,,,,,,,,,,,,,,,,,,
MT24-1_M_51,sweeps 23-41,669,248,1.15,0.372,2104,150,7.19,0.00058,14.6245577,0.01154,12.5,0.00142,3.7,0.299206696,704.10,3.7,0.05893,11.9,11.7,1.71,1.73,564,259,259,11.7,1.45,1.46,9.15,0.341,0.380,98.4,21.5,0.7,11.7,0.346,8.99,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_51,9,0.4,98,9,0.4,98,9,0.4,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2104,1471469,0.00,0.85,-0.29,,,,,,,,,,,,,,,,,,,,
MT24-1_M_50,sweeps 23-35,1381,727,2.39,0.527,4507,233,8.49,0.00045,8.111218231,0.00931,9.9,0.00142,5.7,0.574827393,703.17,5.7,0.04750,8.1,9.16,0.743,0.777,74.2,193,193,9.41,0.929,0.945,9.16,0.522,0.547,87.7,2.7,32.1,9.42,0.523,9.16,1561,441,3.72,3327,487080,7.05,1.84,34.2,0.778,7.07,10.7,0.358,64.4,25.3,326,130,584,130,1218,191,11198,3.56,727,1381,703,7.02,0.04,2722.93,0.04,0.02,1.98,0.01,0.01,0.53,0.22,3.37,0.005789515,1.134234128,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_50,9,0.5,88,9,0.5,88,9,0.5,87,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4507,3305117,0.00,1.17,-2.56,,,,,,,,,,,,,,,,,,,,
MT24-1_L_23,sweeps 23-41,713,293,1.33,0.411,2234,38.0,1.21,0.00080,13.09816277,0.01518,15.9,0.00142,5.4,0.337119865,702.09,5.4,0.07731,15.0,16.2,2.12,2.14,1129,298,298,15.3,2.41,2.43,9.18,0.491,0.519,99.2,40.0,0.2,15.4,0.491,8.70,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_23,9,0.5,99,9,0.5,99,9,0.5,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2234,1566948,0.00,0.85,-0.41,,,,,,,,,,,,,,,,,,,,
MT24-1_M_32,sweeps 35-41,709,251,1.38,0.355,2069,41.6,1.12,0.00108,30.02100769,0.01956,19.9,0.00143,7.7,0.386625889,701.11,7.7,0.09945,18.3,21.8,6.55,6.58,1614,341,341,19.7,3.87,3.88,9.19,0.705,0.716,99.4,53.3,0.1,19.9,0.690,8.45,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_32,9,0.7,99,9,0.7,99,9,0.7,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2069,1351028,0.00,0.50,-0.58,,,,,,,,,,,,,,,,,,,,
MT24-1_M_34,sweeps 23-41,661,213,1.11,0.322,2054,2302,99.0,0.00050,11.21103732,0.01094,12.0,0.00143,5.0,0.416060789,698.51,5.0,0.05542,10.9,10.1,1.14,1.16,429,242,243,11.0,1.31,1.33,9.22,0.459,0.488,97.9,16.5,1.2,11.1,0.459,9.17,593,280,2.99,1400,508649,5.41,0.02,12.8,0.05,0.825,2.82,0.071,21.4,9.09,125,51.9,253,56.6,540,96.0,14093,3.34,213,661,684,92.36,0.03,1170.06,0.03,0.01,1.62,0.01,0.03,0.32,0.15,10.07,0.010018376,1.223683737,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_34,9,0.5,98,9,0.5,98,9,0.5,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2054,1448062,0.00,0.85,-0.27,,,,,,,,,,,,,,,,,,,,
MT24-1_L_9 z1,sweeps 23-41,1370,775,2.53,0.566,4276,174,2.91,0.00058,13.18066082,0.01156,11.9,0.00143,5.5,0.463008043,698.14,5.5,0.05855,10.6,11.8,1.56,1.57,550,231,231,11.7,1.39,1.40,9.23,0.510,0.536,98.3,21.0,0.7,11.7,0.507,8.98,1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_9,9,0.5,98,9,0.5,98,9,0.5,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4276,3029335,0.00,0.82,-2.21,,,,,,,,,,,,,,,,,,,,
MT24-1_M_41,sweeps 23-41,593,208,1.04,0.350,1829,160,7.98,0.00062,15.42269649,0.01441,14.5,0.00143,3.8,0.262810305,697.38,3.8,0.07289,14.0,12.5,1.92,1.94,1011,284,284,14.5,2.10,2.11,9.24,0.352,0.390,99.1,36.4,0.3,14.6,0.361,9.05,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_41,9,0.4,99,9,0.4,99,9,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1829,1286371,0.00,0.85,-0.07,,,,,,,,,,,,,,,,,,,,
MT24-1_M_37,sweeps 23-41,1353,838,2.40,0.619,4299,377,10.7,0.00043,6.336525731,0.00965,8.9,0.00143,3.0,0.33253457,697.28,3.0,0.04880,8.4,8.74,0.554,0.581,138,197,197,9.75,0.863,0.881,9.24,0.273,0.321,93.3,5.3,9.5,9.76,0.276,9.29,1613,429,3.38,2436,487679,6.97,1.47,31.8,0.614,2.02,7.00,0.213,43.7,17.7,230,90.2,420,91.5,835,142,11391,3.47,838,1353,695,8.21,0.04,1913.71,0.04,0.01,2.01,0.01,0.01,0.62,0.34,4.68,0.008354395,1.620384624,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_37,9,0.3,93,9,0.3,93,9,0.3,93,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4299,3040236,0.00,0.82,-2.23,,,,,,,,,,,,,,,,,,,,
MT24-1_M_55,sweeps 23-41,541,228,1.05,0.422,1766,80.5,2.73,0.00092,8.405020178,0.01729,16.4,0.00144,5.4,0.3317413,696.56,5.4,0.08735,15.5,18.6,1.56,1.61,1368,297,298,17.4,2.83,2.85,9.25,0.502,0.530,99.3,46.9,0.2,17.6,0.502,8.60,1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_55,9,0.5,99,9,0.5,99,9,0.5,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1766,1219287,0.00,0.85,0.02,,,,,,,,,,,,,,,,,,,,
MT24-1_M_59,sweeps 23-41,367,146,0.637,0.398,1161,45.8,0.737,0.00054,14.9149289,0.01163,11.6,0.00144,4.2,0.362144302,696.39,4.2,0.05874,10.8,10.8,1.62,1.63,557,236,236,11.7,1.35,1.37,9.25,0.389,0.424,98.3,21.2,0.7,11.8,0.390,9.15,1029,291,5.76,1491,496136,2.15,0.624,5.91,0.491,5.00,8.33,0.269,44.1,14.1,180,62.4,261,55.2,479,77.0,10603,1.43,146,367,742,2.62,0.04,1194.42,0.08,0.01,1.51,0.01,0.01,0.40,0.10,7.11,0.004484335,0.766186153,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_59,9,0.4,98,9,0.4,98,9,0.4,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1161,833184,0.00,0.86,0.49,,,,,,,,,,,,,,,,,,,,
MT24-1_M_69,sweeps 23-41,1757,1497,3.42,0.852,5856,75.8,4.24,0.00051,5.808353055,0.01082,10.5,0.00144,3.6,0.3406205,695.45,3.6,0.05457,9.8,10.2,0.593,0.627,395,220,221,10.9,1.14,1.15,9.26,0.330,0.370,97.7,15.2,1.3,11.0,0.332,9.12,2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_69,9,0.4,98,9,0.4,98,10,0.4,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5856,4082191,0.00,0.81,-3.51,,,,,,,,,,,,,,,,,,,,
MT24-1_M_63,sweeps 23-41,1396,781,2.65,0.559,4524,396,37.0,0.00064,7.647023686,0.01318,8.8,0.00145,3.9,0.447506412,691.80,3.9,0.06611,7.9,12.8,0.981,1.01,810,164,165,13.3,1.16,1.19,9.31,0.366,0.403,98.9,29.9,0.2,13.4,0.362,8.98,1495,1089,4.40,3096,478569,7.34,9.43,54.7,3.42,16.6,12.1,0.470,59.2,23.9,314,116,541,124,1100,181,10564,3.36,781,1396,718,2.36,0.05,2556.21,0.04,0.02,2.18,0.01,0.01,0.56,0.25,3.41,0.006670283,1.268894637,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_63,9,0.4,99,9,0.4,99,10,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4524,3155993,0.00,0.82,-2.37,,,,,,,,,,,,,,,,,,,,
MT24-1_M_40,sweeps 23-30,605,221,1.02,0.365,2004,143,3.47,0.00043,41.40148348,0.01048,18.5,0.00145,6.4,0.348347979,690.52,6.4,0.05246,17.3,8.67,3.59,3.60,306,395,395,10.6,1.95,1.96,9.33,0.601,0.632,96.9,11.8,4.0,10.6,0.606,9.37,922,394,3.67,1607,552591,5.80,2.18,14.6,0.659,3.88,4.75,0.116,27.8,11.9,161,62.4,282,61.9,558,91.8,14002,3.42,221,605,702,2.98,0.03,1283.43,0.04,0.01,1.69,0.01,0.03,0.37,0.14,8.71,0.010384618,1.083983158,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_40,9,0.6,97,9,0.6,97,9,0.6,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2004,1499467,0.00,1.53,0.21,,,,,,,,,,,,,,,,,,,,
MT24-1_L_13,sweeps 23-35,932,480,1.62,0.515,2965,466,11.6,0.00043,12.914678,0.01004,9.7,0.00145,6.8,0.706846662,690.41,6.8,0.05030,6.8,8.72,1.13,1.15,209,159,159,10.1,0.977,0.995,9.33,0.638,0.659,95.5,8.1,3.4,10.2,0.636,9.38,516,385,2.97,3123,484675,3.61,0.132,20.4,0.192,3.35,10.4,0.414,61.7,23.9,307,121,548,119,1068,180,11782,2.07,480,932,684,31.51,0.05,2461.93,0.05,0.02,1.75,0.00,0.01,0.51,0.15,3.77,0.003385876,0.872542725,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_13,9,0.7,96,9,0.7,96,9,0.7,95,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2965,2183535,0.00,1.19,-1.04,,,,,,,,,,,,,,,,,,,,
MT24-1_L_10,sweeps 23-41,1096,645,1.95,0.588,3499,111,5.36,0.00045,10.95517292,0.00883,8.6,0.00145,4.2,0.491965258,689.23,4.2,0.04415,7.5,9.15,1.00,1.02,-102,185,185,8.93,0.767,0.784,9.35,0.396,0.431,109.1,-4.7,16.5,8.92,0.399,9.37,1557,447,3.24,2148,474754,6.17,4.32,33.1,1.83,9.03,7.31,0.211,39.8,15.2,205,80.3,372,81.6,743,128,11518,3.06,645,1096,691,2.89,0.04,1720.51,0.04,0.01,2.01,0.01,0.01,0.59,0.30,5.36,0.008301204,1.474083709,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_10,9,0.4,109,9,0.4,109,9,0.4,109,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3499,2434378,0.00,0.83,-1.48,,,,,,,,,,,,,,,,,,,,
MT24-1_L_6,sweeps 23-41,1163,546,2.16,0.470,3594,120,3.96,0.00061,9.601388328,0.01312,9.5,0.00147,4.0,0.419182486,678.53,4.0,0.06457,8.6,12.3,1.18,1.20,760,182,182,13.2,1.25,1.27,9.49,0.377,0.414,98.8,28.3,0.3,13.3,0.375,9.28,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_6,9,0.4,99,9,0.4,99,10,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3594,2487738,0.00,0.83,-1.55,,,,,,,,,,,,,,,,,,,,
MT24-1_L_17 z7,sweeps 23-41,1210,1193,2.66,0.985,3887,120,4.44,0.00060,4.938060233,0.01687,7.8,0.00148,3.0,0.38356512,674.76,3.0,0.08255,7.2,12.2,0.602,0.649,1258,140,140,17.0,1.31,1.34,9.55,0.284,0.332,99.2,43.8,0.1,17.1,0.280,9.07,1868,3446,6.15,6629,480452,32.0,793,2035,325,1833,521,3.48,686,132,1072,297,1054,188,1527,217,7461,6.27,1193,1210,748,0.98,0.02,10683.30,0.37,0.03,5.10,0.03,0.03,0.99,0.18,1.13,0.020956779,0.792738952,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_17,10,0.3,99,9,0.3,99,10,0.3,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3887,2632421,0.00,0.83,-1.72,,,,,,,,,,,,,,,,,,,,
MT24-1_L_5,sweeps 23-41,502,179,0.985,0.357,1437,164,7.06,0.00097,19.66285514,0.01633,17.3,0.00150,4.2,0.24387545,667.38,4.2,0.07902,16.8,19.5,3.83,3.85,1173,333,333,16.4,2.83,2.84,9.65,0.408,0.443,99.2,41.3,0.2,16.6,0.423,9.08,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_5,10,0.4,99,10,0.4,99,10,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1437,977564,0.00,0.85,0.31,,,,,,,,,,,,,,,,,,,,
MT24-1_L_1,sweeps 23-35,202,85.0,0.367,0.420,610,20.7,1.14,0.00040,28.79009114,0.00998,25.1,0.00157,9.2,0.365104326,635.87,9.2,0.04601,23.3,8.02,2.31,2.32,-2,563,563,10.1,2.52,2.52,10.1,0.927,0.944,600.1,-0.5,139021.2,10.1,0.937,10.3,1396,377,11.9,1587,503262,0.837,,1.90,0.101,2.22,6.09,0.085,39.0,14.1,172,61.2,260,54.2,488,82.0,11035,0.522,85.0,202,815,18.34,0.02,1181.01,0.07,0.01,1.60,0.00,0.01,0.42,0.05,6.95,0.001715983,0.414614173,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_1,10,0.9,600,10,0.9,594,10,0.9,593,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,610,426840,0.00,1.22,1.34,,,,,,,,,,,,,,,,,,,,
MT24-1_M_65,sweeps 23-30,1282,754,2.49,0.588,4902,241,4.49,0.00051,10.81208039,0.00970,10.9,0.00157,3.3,0.300331495,635.37,3.3,0.04472,10.4,10.3,1.12,1.15,-71,254,254,9.81,1.06,1.08,10.1,0.332,0.394,114.3,-3.4,50.9,9.80,0.338,10.1,1678,918,3.67,2806,520984,6.20,18.2,71.0,7.01,37.0,15.7,0.506,57.8,20.6,269,104,472,108,997,161,11154,3.17,754,1282,702,1.54,0.05,2339.76,0.05,0.01,1.95,0.00,0.01,0.59,0.27,3.97,0.006213861,1.285627967,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_65,10,0.4,114,10,0.4,114,10,0.4,115,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4902,3341968,0.00,1.48,-2.22,,,,,,,,,,,,,,,,,,,,
MT24-1_L_16,sweeps 23-30,864,432,2.13,0.500,3235,82.8,2.23,0.00126,8.528439228,0.03053,7.3,0.00162,1.9,0.262961634,618.30,1.9,0.13690,7.0,25.4,2.16,2.28,2188,122,122,30.5,2.19,2.28,10.4,0.199,0.293,99.5,65.9,0.0,31.0,0.223,9.16,923,315,5.62,2421,472404,3.56,3.19,27.1,0.661,4.33,7.44,0.190,44.8,18.6,245,94.9,431,95.3,858,138,12039,2.26,432,864,740,4.58,0.03,1968.64,0.04,0.01,1.57,0.00,0.01,0.50,0.18,4.97,0.004150964,1.007135803,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_16,10,0.3,100,10,0.3,100,10,0.3,100,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3235,2189929,0.00,1.51,-0.70,,,,,,,,,,,,,,,,,,,,
MT24-1_L_18,sweeps 23-41,146,26.4,2.33,0.181,4740,98.2,9.89,0.00445,12.83994467,0.09864,7.4,0.01442,4.0,0.537384553,69.36,4.0,0.04962,6.3,89.7,11.5,11.6,177,146,146,95.5,6.77,6.97,92.3,3.66,4.02,47.9,3.4,43.0,95.6,3.67,92.4,466,104,2.41,187,477557,1.20,,3.67,0.007,0.200,0.716,0.341,3.79,1.19,15.4,5.86,29.3,6.65,71.1,14.5,10808,0.660,26.4,146,667,549.39,0.63,152.68,0.04,0.00,1.82,0.01,0.05,0.18,0.14,57.90,0.016915333,2.053371578,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_18,92,4.0,48,92,4.0,48,91,4.0,49,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4740,322702,0.00,0.82,1.12,,,,,,,,,,,,,,,,,,,,
,imprecise tims analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,trace elements compromised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
